# Originally captured: 2026-08-17T22:01:59+05:30; normalized rows reverified unchanged on 2026-08-18
# GitHub main: 1780866c61c0b7cb0e7a9652735ccdc312d671ad
# Remote deployed baseline: NOT CONNECTED / NOT INSPECTABLE FROM THIS ENVIRONMENT
# Source: php artisan route:list --json (rendered TSV)
method	uri	name	action	middleware
GET|HEAD	/		Closure	web
GET|HEAD	academic-years	academic-years.index	App\Http\Controllers\AcademicYearController@index	web,auth
POST	academic-years	academic-years.store	App\Http\Controllers\AcademicYearController@store	web,auth
GET|HEAD	academic-years/create	academic-years.create	App\Http\Controllers\AcademicYearController@create	web,auth
GET|HEAD	academic-years/{academic_year}	academic-years.show	App\Http\Controllers\AcademicYearController@show	web,auth
PUT|PATCH	academic-years/{academic_year}	academic-years.update	App\Http\Controllers\AcademicYearController@update	web,auth
DELETE	academic-years/{academic_year}	academic-years.destroy	App\Http\Controllers\AcademicYearController@destroy	web,auth
GET|HEAD	academic-years/{academic_year}/edit	academic-years.edit	App\Http\Controllers\AcademicYearController@edit	web,auth
GET|HEAD	administrator/mark-audit	mark-audit.index	App\Http\Controllers\Administrator\MarkAuditController@index	web,auth
GET|HEAD	administrator/marks-correction	result-generation.admin-marks.index	App\Http\Controllers\Administrator\AdminMarksController@index	web,auth
GET|HEAD	administrator/marks-correction/edit	result-generation.admin-marks.edit	App\Http\Controllers\Administrator\AdminMarksController@edit	web,auth
POST	administrator/marks-correction/reopen	admin-marks.reopen	App\Http\Controllers\Administrator\AdminMarksController@reopen	web,auth
POST	administrator/marks-correction/update	result-generation.admin-marks.update	App\Http\Controllers\Administrator\AdminMarksController@update	web,auth
PUT	administrator/marks-correction/update	admin-marks.update	App\Http\Controllers\Administrator\AdminMarksController@update	web,auth
GET|HEAD	administrator/result-generation	administrator.result-generation.index	App\Http\Controllers\Administrator\ResultGenerationController@index	web,auth
POST	administrator/result-generation/generate	administrator.result-generation.generate	App\Http\Controllers\Administrator\ResultGenerationController@generate	web,auth
GET|HEAD	administrator/result-register	administrator.result-register	App\Http\Controllers\Administrator\ResultRegisterController@index	web,auth
POST	administrator/result-register	administrator.result-register.search	App\Http\Controllers\Administrator\ResultRegisterController@search	web,auth
GET|HEAD	administrator/result-sheet	result-sheet.index	App\Http\Controllers\Administrator\ResultSheetController@index	web,auth
POST	administrator/result-sheet	result-sheet.search	App\Http\Controllers\Administrator\ResultSheetController@search	web,auth
